,host_id,host_location,host_acceptance_rate,bathrooms,amenities,review_scores_value
125,2846323,"Barcelona, Spain",100%,3.0,"[""Bed linens"", ""Oven"", ""AC - split type ductless system"", ""Hot water"", ""High chair"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Induction stove"", ""City skyline view"", ""Extra pillows and blankets"", ""Elevator"", ""Crib"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""HDTV with standard cable"", ""Private patio or balcony"", ""Pets allowed"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Heating"", ""Essentials"", ""Dishwasher""]",4.8
252,2041901,"Barcelona, Spain",100%,2.0,"[""Bed linens"", ""Oven"", ""Central heating"", ""Hot water"", ""High chair"", ""55 inch HDTV"", ""Central air conditioning"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""City skyline view"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Coffee maker"", ""Patio or balcony"", ""Shower gel"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher""]",4.67
300,1432835,"Barcelona, Spain",90%,1.0,"[""AC - split type ductless system"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Noise decibel monitors on property"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Induction stove"", ""Dryer"", ""City skyline view"", ""Elevator"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Pets allowed"", ""Coffee maker"", ""45 inch HDTV with Apple TV, HBO Max, Hulu, Netflix"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Dishwasher""]",4.61
301,5126902,"Barcelona, Spain",89%,1.0,"[""Bed linens"", ""Oven"", ""Coffee"", ""Dishwasher"", ""Hot water"", ""Paid street parking off premises"", ""Cooking basics"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Washer"", ""Courtyard view"", ""Shampoo"", ""Garden view"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Toaster"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Dryer"", ""Hot water kettle"", ""Elevator"", ""Host greets you"", ""Iron"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Air conditioning""]",4.77
302,721378,"Barcelona, Spain",100%,2.0,"[""Bed linens"", ""Valley view"", ""Oven"", ""42 inch HDTV with Amazon Prime Video, Fire TV"", ""Hot water"", ""Room-darkening shades"", ""Private backyard \u2013 Fully fenced"", ""Central air conditioning"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Board games"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Extra pillows and blankets"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Stainless steel gas stove"", ""Coffee maker"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Dishwasher""]",4.57
303,396363,"Barcelona, Spain",93%,1.0,"[""Bed linens"", ""Oven"", ""Central heating"", ""Self check-in"", ""Baby bath"", ""Hot water"", ""Paid parking garage off premises"", ""Smart lock"", ""High chair"", ""Central air conditioning"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Electric stove"", ""Microwave"", ""Noise decibel monitors on property"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Bathtub"", ""Luggage dropoff allowed"", ""Crib"", ""Dedicated workspace"", ""Iron"", ""Private patio or balcony"", ""Pets allowed"", ""Coffee maker"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""TV"", ""Freezer"", ""Essentials""]",4.18
304,5182848,"Barcelona, Spain",,,"[""Smoking allowed"", ""Wifi"", ""Washer"", ""Dryer"", ""Breakfast"", ""Private living room"", ""Shampoo"", ""Fire extinguisher"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Iron"", ""Heating"", ""Kitchen"", ""Essentials""]",4.61
305,5197001,"Sitges, Spain",99%,1.0,"[""Dishwasher"", ""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Long term stays allowed"", ""Coffee maker"", ""Drying rack for clothing"", ""Smoking allowed"", ""Backyard"", ""Heating"", ""Paid parking off premises"", ""Room-darkening shades"", ""Host greets you"", ""Kitchen"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""TV"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Patio or balcony"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Clothing storage: closet"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Mountain view""]",4.77
306,5201227,"Barcelona, Spain",91%,2.0,"[""Host greets you"", ""Carbon monoxide alarm"", ""Bed linens"", ""Refrigerator"", ""Elevator"", ""Bathtub"", ""Essentials"", ""Heating"", ""Hangers"", ""Body soap"", ""Dishwasher"", ""Microwave"", ""Oven"", ""Exercise equipment"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Washer"", ""Wifi"", ""Shampoo"", ""Extra pillows and blankets"", ""Hair dryer"", ""Dryer"", ""Stove"", ""Crib"", ""Dishes and silverware"", ""Air conditioning"", ""High chair"", ""Room-darkening shades"", ""TV"", ""Kitchen"", ""Smoke alarm""]",4.79
307,4217311,"Barcelona, Spain",99%,2.0,"[""Bed linens"", ""Self check-in"", ""Baby bath"", ""Hot water"", ""Room-darkening shades"", ""Books and reading material"", ""TV with standard cable"", ""Body soap"", ""High chair"", ""Central air conditioning"", ""Cooking basics"", ""Coffee maker: pour-over coffee"", ""Fast wifi \u2013 123 Mbps"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Keypad"", ""Stove"", ""Exterior security cameras on property"", ""Toaster"", ""Bathtub"", ""Luggage dropoff allowed"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Crib"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Shower gel"", ""Paid parking garage on premises"", ""Single level home"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Heating"", ""Freezer"", ""Essentials"", ""Mini fridge""]",4.87
